Difficulty,Difficulty Score,Time (ms),Backtrack Count,Backtrack Fail Count
Beginner,3800,0.5295,38,0
Beginner,4300,1.3301,43,0
Beginner,4000,0.9775,40,0
Beginner,4300,1.0604,43,0
Beginner,3800,0.862,38,0
Beginner,4100,1.026,41,0
Beginner,4200,2.0572,42,0
Beginner,3800,0.6679,38,0
Beginner,3900,1.9053,39,0
Beginner,4100,1.0046,41,0
Beginner,4100,0.9607,41,0
Beginner,3900,0.7583,39,0
Beginner,4000,1.4601,40,0
Beginner,4200,0.659,42,0
Beginner,3700,0.5354,37,0
Beginner,4300,1.2436,43,0
Beginner,4100,0.9889,41,0
Beginner,3900,0.636,39,0
Beginner,4100,0.8241,41,0
Beginner,4400,1.1769,44,0
Beginner,4300,1.4518,43,0
Beginner,4000,0.718,40,0
Beginner,4000,1.9919,40,0
Beginner,4300,1.1818,43,0
Beginner,4200,0.9683,42,0
Beginner,3800,0.9308,38,0
Beginner,4000,1.5378,40,0
Beginner,4100,1.0766,41,0
Beginner,3800,0.9679,38,0
Beginner,4100,0.7399,41,0
Beginner,4300,1.1465,43,0
Beginner,4400,0.8963,44,0
Beginner,3900,0.665,39,0
Beginner,4100,1.0281,41,0
Beginner,4200,1.1381,42,0
Beginner,4100,1.3072,41,0
Beginner,3900,1.0985,39,0
Beginner,3700,0.5472,37,0
Beginner,4200,1.1603,42,0
Beginner,4100,0.9682,41,0
Beginner,4100,1.2128,41,0
Beginner,3800,1.0996,38,0
Beginner,4200,5.3241,42,0
Beginner,4300,1.1132,43,0
Beginner,4100,0.6901,41,0
Beginner,4000,0.8279,40,0
Beginner,3700,0.8592,37,0
Beginner,4000,1.2084,40,0
Beginner,4100,1.2807,41,0
Beginner,4000,0.8026,40,0
Beginner,4300,1.0982,43,0
Beginner,3900,1.3031,39,0
Beginner,4300,1.0344,43,0
Beginner,4200,0.8404,42,0
Beginner,4100,1.031,41,0
Beginner,4000,0.688,40,0
Beginner,4100,0.9799,41,0
Beginner,3800,0.7974,38,0
Beginner,4300,1.4705,43,0
Beginner,3800,0.992,38,0
Beginner,3700,0.6066,37,0
Beginner,4100,1.9626,41,0
Beginner,4000,0.864,40,0
Beginner,3900,0.9067,39,0
Beginner,4100,0.8897,41,0
Beginner,3900,0.6473,39,0
Beginner,4400,1.8671,44,0
Beginner,3700,0.6359,37,0
Beginner,4400,1.3859,44,0
Beginner,3900,0.6743,39,0
Beginner,4000,0.69,40,0
Beginner,4400,1.0659,44,0
Beginner,3900,0.6688,39,0
Beginner,4100,1.0099,41,0
Beginner,4200,1.0394,42,0
Beginner,4400,1.6379,44,0
Beginner,4400,0.9637,44,0
Beginner,4000,1.4342,40,0
Beginner,4300,1.3571,43,0
Beginner,3700,0.7345,37,0
Beginner,4400,3.5152,44,0
Beginner,3800,1.0465,38,0
Beginner,3700,0.8126,37,0
Beginner,4300,0.9965,43,0
Beginner,4400,1.7589,44,0
Beginner,3900,0.587,39,0
Beginner,3900,0.7907,39,0
Beginner,3700,0.4885,37,0
Beginner,4100,1.0168,41,0
Beginner,4400,1.7329,44,0
Beginner,4300,1.0862,43,0
Beginner,3900,1.0259,39,0
Beginner,4000,0.9779,40,0
Easy,4700,4.0531,47,0
Easy,4700,2.2075,47,0
Easy,4900,7.465,49,0
Easy,5000,7.8219,50,0
Easy,5300,7.5824,53,0
Easy,5400,15.4308,54,0
Easy,4500,1.3565,45,0
Easy,5200,129.239,52,0
Easy,4500,1.7175,45,0
Easy,4500,2.8017,45,0
Easy,4800,2.4287,48,0
Easy,5300,6.1476,53,0
Easy,5450,36.3381,51,0
Easy,5100,10.9837,51,0
Easy,5000,7.871,50,0
Easy,4500,1.3278,45,0
Easy,5100,4.9189,51,0
Easy,5400,35.5223,54,0
Easy,4800,3.9678,48,0
Easy,5400,38.3967,54,0
Easy,5100,8.8877,51,0
Easy,4600,1.8033,46,0
Easy,5100,4.535,51,0
Easy,5400,19.1467,54,0
Easy,5400,97.0939,54,0
Easy,4500,2.2629,45,0
Easy,4900,4.3933,49,0
Easy,4700,3.3445,47,0
Easy,4700,1.5444,47,0
Easy,5300,4.0978,53,0
Easy,4700,1.3772,47,0
Easy,5200,23.477,52,0
Easy,5200,7.4643,52,0
Easy,5000,5.1153,50,0
Easy,5300,43.88,53,0
Easy,5000,9.5012,50,0
Easy,5200,6.4703,52,0
Easy,4700,2.7255,47,0
Easy,4800,2.9747,48,0
Easy,5100,2.7927,51,0
Easy,4600,2.7959,46,0
Easy,5400,19.9115,54,0
Easy,4500,2.6831,45,0
Easy,4800,5.4256,48,0
Easy,5300,17.1391,53,0
Easy,4500,2.7584,45,0
Easy,5400,31.6631,54,0
Easy,5100,9.5743,51,0
Easy,5100,5.5456,51,0
Easy,5100,3.699,51,0
Easy,5300,5.561,53,0
Easy,4500,3.2979,45,0
Easy,5300,12.4053,53,0
Easy,5300,3.8517,53,0
Easy,4400,0.8936,44,0
Easy,4500,2.0816,45,0
Easy,5300,27.824,53,0
Easy,4700,5.8632,47,0
Easy,4400,1.07,44,0
Easy,4800,1.3426,48,0
Easy,4400,1.6363,44,0
Easy,4900,8.2934,49,0
Easy,5300,29.9446,53,0
Easy,5000,13.1976,50,0
Easy,5000,1.6301,50,0
Easy,5100,12.3853,51,0
Easy,5400,17.9546,54,0
Easy,5400,25.3915,54,0
Easy,5100,57.8702,51,0
Easy,4700,3.1472,47,0
Easy,5300,65.9815,53,0
Easy,4600,1.7927,46,0
Easy,5400,10.9561,54,0
Easy,4900,3.6051,49,0
Easy,4700,2.3027,47,0
Easy,4800,3.4335,48,0
