Difficulty,Difficulty Score,Time (ms),Recursive Solver Time (ms)
Easy,4500,0.8646,0.3737
Easy,5400,40.3071,39.273
Easy,4500,1.1144,0.5904
Easy,5400,27.2999,26.4864
Easy,4600,1.6248,1.1088
Easy,4900,4.2241,3.5848
Easy,5000,4.325,3.7276
Easy,5000,5.3886,4.6354
Easy,4700,1.3019,0.817
Easy,5300,5.5754,4.8274
Easy,4700,2.2856,1.7136
Easy,5100,10.8388,10.1958
Easy,4700,2.5333,1.979
Easy,4900,1.9344,1.3897
Easy,4400,0.9189,0.4778
Easy,5200,6.4243,5.7283
Easy,4600,1.0728,0.5624
Easy,4700,1.9491,1.4357
Easy,5400,42.5424,41.2148
Easy,4600,1.1431,0.6539
Easy,5300,6.3588,4.8054
Easy,4900,3.264,2.7076
Easy,4600,2.5708,2.0985
Easy,4600,2.1402,1.6489
Easy,4500,1.068,0.6125
Easy,5400,14.6148,13.6952
Easy,5400,24.0221,22.735
Easy,5000,1.4305,0.8588
Easy,5300,2.9085,2.2772
Easy,4600,1.189,0.7118
Easy,5200,67.2005,66.4916
Easy,4500,1.3008,0.8119
Easy,5000,2.3207,1.7499
Easy,4400,0.8851,0.4403
Easy,4700,2.1568,1.6276
Easy,4600,1.192,0.6553
Easy,4700,4.8789,4.2425
Easy,4600,4.8564,4.3554
Easy,5000,1.6026,0.981
Easy,4900,2.5389,1.927
Easy,4700,1.2117,0.6647
Easy,4400,1.5317,1.037
Easy,4900,1.4778,0.8816
Easy,5100,15.1151,14.0374
Easy,4900,1.5455,0.8598
Easy,4700,4.4653,2.8869
Easy,4600,1.1434,0.6662
Easy,4400,0.8041,0.3678
Easy,5400,41.438,40.0467
Easy,4800,2.3356,1.6055
Easy,5300,8.5164,7.3579
Easy,4600,2.7699,2.2869
Easy,4700,1.3218,0.7886
Easy,5000,9.0431,8.4073
Easy,5200,9.5957,8.9642
Easy,4800,1.3355,0.8075
Easy,4500,0.9509,0.5179
Easy,5200,9.4419,7.7653
Easy,4900,1.8552,0.8543
Easy,5100,8.8468,8.2205
Easy,5100,5.7207,4.9637
Easy,4800,3.6624,3.0661
Easy,5200,8.6427,7.8111
Easy,5100,10.298,9.7057
Easy,4500,2.7897,2.2983
Easy,4600,0.9318,0.4527
Easy,5000,9.2614,8.6886
Easy,4900,2.0093,1.4706
Easy,5000,4.205,3.4143
Easy,5300,21.756,20.5386
Easy,5000,7.4164,6.7088
Easy,5200,7.4941,6.7177
Easy,4600,1.4634,0.9778
Easy,5300,25.891,25.1538
Easy,5100,1.8595,1.2019
Easy,4400,1.8156,1.321
Easy,4400,1.2774,0.7676
Easy,4450,1.0151,0.5197
Easy,5300,48.9938,46.2312
Easy,5300,43.5479,42.6989
Easy,5300,23.658,20.9101
Easy,4800,1.0678,0.5366
Easy,4500,1.446,0.9752
Easy,5000,6.2298,5.5577
Easy,4900,2.0616,1.4846
Easy,5100,3.6883,3.05
Easy,5000,5.3358,4.5952
Easy,4400,1.8133,1.3727
Easy,5100,20.2876,19.5689
Easy,5000,8.2178,7.6364
Easy,5300,38.8086,37.1721
Easy,5300,5.27,4.6173
Easy,4700,1.434,0.9381
Easy,5400,21.5381,20.1301
Easy,4800,1.1387,0.5755
Easy,4500,1.5572,1.0824
Easy,4800,1.2806,0.7365
Easy,4900,3.7677,3.1708
Easy,5200,7.4805,6.3987
Easy,5400,31.5547,30.8543
Easy,4800,6.3125,5.8047
Easy,5000,8.84,8.2168
Easy,5200,2.335,1.6937
Easy,5000,18.0338,17.3672
Easy,5300,12.123,11.3456
Easy,4400,2.0936,1.6529
Easy,5000,1.933,1.302
Easy,4600,1.0476,0.5512
Easy,4500,1.9551,1.4625
Easy,4400,1.4863,1.0235
Easy,4700,3.1764,2.6559
Easy,4700,1.269,0.7224
Easy,4400,0.8232,0.3512
Easy,5400,10.5616,9.4029
Easy,4900,2.4199,1.8631
Easy,4900,2.6708,2.1074
Easy,4800,1.7432,1.2218
Easy,5100,6.7453,6.0476
Easy,5000,4.0521,3.4848
Easy,4700,2.6249,1.9157
Easy,4800,1.9816,1.3711
Easy,5000,1.549,0.9958
Easy,5000,1.7078,1.0651
Easy,4900,3.0284,2.4551
Easy,4600,2.7831,2.279
Easy,5100,9.7364,3.4453
Easy,4800,9.1073,8.4816
Easy,4600,1.203,0.7154
Easy,4700,1.6124,1.0183
Easy,4800,1.6316,1.0791
Easy,4800,1.3812,0.8369
Easy,5000,8.3951,7.7039
Easy,4900,5.8165,4.5954
Easy,4900,2.6594,2.0696
Easy,5300,9.8891,9.1637
Easy,5300,19.6604,18.8019
Easy,5300,47.3373,46.515
Easy,5300,15.0114,14.2298
Easy,4800,3.0226,2.4534
Easy,4600,4.3743,3.7755
Easy,4600,1.1308,0.6561
Easy,4600,1.8904,1.3974
Easy,4400,1.4151,0.9833
Easy,5100,13.9913,12.7209
Easy,5100,4.0174,3.4004
Easy,4500,1.8568,1.3754
Easy,5200,10.5547,9.8814
Easy,5200,7.5098,6.8536
Medium,6150,10.8704,9.4156
Medium,5600,300.2914,298.833
Medium,5650,14.3528,11.5229
Medium,5600,18.6412,17.5963
Medium,6650,3481.9049,3480.5098
Medium,5600,120.0358,119.1554
Medium,5900,20.686,19.7385
Medium,5500,14.8806,13.3114
Medium,6150,15.5212,14.6262
Medium,6800,69.6653,68.0947
Medium,5500,73.4628,72.6684
Medium,5800,303.2075,301.5555
Medium,5450,17.967,17.27
Medium,5500,43.7673,42.375
Medium,5950,227.561,226.3831
